№п/п	question
357	Чи підтримує Fronius Primo функцію Zero Feed-In (нульовий експорт)?	
358	Який тип комунікації використовується для підключення Smart Meter до Primo?	
359	Як Fronius Primo обробляє короткочасні перенапруги на AC-лінії?	
360	Чи можна інтегрувати Fronius Primo у систему з Victron Cerbo GX?	
361	Який основний принцип інтеграції інвертора, MPPT-контролера та захистів у Victron EasySolar?	
362	Як EasySolar визначає пріоритет джерел енергії (PV, мережа, генератор)?	
363	Яка роль Color Control GX у системі EasySolar?	
364	Чи підтримує EasySolar паралельну роботу декількох блоків?	
365	Яким чином можна обмежити заряджання батареї з мережі у Victron EasySolar ?	
366	Як EasySolar реагує на зникнення комунікації з BMS батареї?	
367	Чи підтримує EasySolar функцію PowerAssist, і як вона впливає на пікові навантаження?	
368	Як налаштувати AC Input Current Limit для роботи з обмеженою потужністю генератора?	
369	Яким чином інвертор LuxPower SNA 6000 контролює зворотний потік енергії в мережу при ввімкненій функції Zero Export і який пристрій для цього використовується?	
370	Як інвертор LuxPower SNA 6000 реагує при втраті комунікації з BMS — переходить у захисний режим, продовжує роботу з обмеженням струму чи вимикає заряд/розряд повністю?	
371	Які параметри потрібно змінити в налаштуваннях, щоб забезпечити коректну паралельну роботу кількох інверторів LuxPower SNA 6000 із спільною батареєю?	
372	"Скільки максимум блоків АКБ SBR можна підключити до інвертора Sungrow SH6.0RS?"	
